"","month","year","n"
"1","août","2015",61
"2","août","2016",61
"3","août","2017",57
"4","août","2018",87
"5","avril","2015",136
"6","avril","2016",132
"7","avril","2017",105
"8","avril","2018",343
"9","décembre","2015",55
"10","décembre","2016",85
"11","décembre","2017",110
"12","décembre","2018",5
"13","février","2015",79
"14","février","2016",71
"15","février","2017",74
"16","février","2018",151
"17","janvier","2015",100
"18","janvier","2016",88
"19","janvier","2017",92
"20","janvier","2018",114
"21","juillet","2015",103
"22","juillet","2016",71
"23","juillet","2017",88
"24","juillet","2018",93
"25","juin","2015",150
"26","juin","2016",174
"27","juin","2017",81
"28","juin","2018",89
"29","mai","2015",104
"30","mai","2016",178
"31","mai","2017",113
"32","mai","2018",240
"33","mars","2015",124
"34","mars","2016",130
"35","mars","2017",130
"36","mars","2018",259
"37","novembre","2015",89
"38","novembre","2016",119
"39","novembre","2017",82
"40","novembre","2018",54
"41","octobre","2015",124
"42","octobre","2016",118
"43","octobre","2017",112
"44","octobre","2018",85
"45","septembre","2015",103
"46","septembre","2016",116
"47","septembre","2017",107
"48","septembre","2018",86
"49",NA,NA,1
