"","gare_de_depart","gare_d_arrivee","lon_depart","lat_depart","lon_arrivee","lat_arrivee","postcode_depart","postcode_arrivee","country_depart","country_arrivee","CODE_DEPT_depart","CODE_DEPT_arrivee","CODE_DEPT","cote"
"1","AIX EN PROVENCE","PARIS LYON",5.4474738,43.5298424,2.3733881,48.8469697,13626,75012,"France","France","13","75","75",NA
"2","ANGERS SAINT LAUD","PARIS MONTPARNASSE",-0.5567891,47.4642438,2.3218471,48.8408073,4900,75014,"France","France","49","75","75",10.2665580432421
"3","ANGOULEME","PARIS MONTPARNASSE",0.1568658,45.6496755,2.3218471,48.8408073,16000,75014,"France","France","16","75","75",6.9975652863697
"4","ANNECY","PARIS LYON",6.135465100226,45.88975045,2.3733881,48.8469697,74000,75012,"France","France","74","75","75",4.81408105798579
"5","ARRAS","PARIS NORD",2.7772211,50.291048,3.0697335,50.6353896,62000,59800,"France","France","62","59","59",8.2620664470139
"6","AVIGNON","PARIS LYON",4.8059012,43.9492493,2.3733881,48.8469697,84005,75012,"France","France","84","75","75",NA
"7","BELLEGARDE (AIN)","PARIS LYON",4.9458155,46.2626363,2.3733881,48.8469697,1290,75012,"France","France","12","75","75",6.39292042218517
"8","BESANCON FRANCHE COMTE","PARIS LYON",6.0243246,47.237953,2.3733881,48.8469697,25000,75012,"France","France","25","75","75",NA
"9","BORDEAUX ST JEAN","PARIS MONTPARNASSE",-0.555906,44.8264016,2.3218471,48.8408073,33800,75014,"France","France","33","75","75",11.365758963139
"10","BORDEAUX ST JEAN","PARIS VAUGIRARD",-0.555906,44.8264016,2.26862118329893,48.8343161,33800,75015,"France","France","33","75","75",6.36424349002796
"11","BORDEAUX ST JEAN","TOURCOING",-0.555906,44.8264016,3.1605714,50.7235038,33800,59200,"France","France","33","59","59",0.985017350360518
"12","BREST","PARIS MONTPARNASSE",-4.4860088,48.3905283,2.3218471,48.8408073,29200,75014,"France","France","29","75","75",5.26281886021997
"13","CHAMBERY CHALLES LES EAUX","PARIS LYON",5.9198702,45.5714337,2.3733881,48.8469697,73000,75012,"France","France","73","75","75",5.39720500086832
"14","DIJON VILLE","PARIS LYON",5.0273864,47.3231793,2.3733881,48.8469697,21000,75012,"France","France","21","75","75",10.9570331343386
"15","DOUAI","PARIS NORD",3.0761377,50.3703683,3.0697335,50.6353896,59500,59800,"France","France","59","59","59",6.22253338069681
"16","DUNKERQUE","PARIS NORD",2.3772525,51.0347708,3.0697335,50.6353896,59140,59800,"France","France","59","59","59",7.50607835479762
"17","FRANCFORT","PARIS EST",4.8620118,45.7609897,2.245182,48.8400023,69003,92100,"France","France","69","92","92",2.53439937476724
"18","GRENOBLE","PARIS LYON",5.7357819,45.1875602,2.3733881,48.8469697,38000,75012,"France","France","38","75","75",6.04446751201037
"19","LA ROCHELLE VILLE","PARIS MONTPARNASSE",-1.1453062,46.1525774,2.3218471,48.8408073,17000,75014,"France","France","17","75","75",3.67121289025233
"20","LAVAL","PARIS MONTPARNASSE",-0.7723499,48.0710377,2.3218471,48.8408073,53000,75014,"France","France","53","75","75",5.94973971250198
"21","LE CREUSOT MONTCEAU MONTCHANIN","PARIS LYON",4.4995015,46.7653149,2.3733881,48.8469697,71210,75012,"France","France","71","75","75",7.82487701473822
"22","LE MANS","PARIS MONTPARNASSE",0.1967379,48.0073498,2.3218471,48.8408073,72000,75014,"France","France","72","75","75",9.73338549467055
"23","LILLE","LYON PART DIEU",3.0706414,50.6305089,4.8601735,45.7605725,59033,69003,"France","France","59","69","69",7.69144564591987
"24","LILLE","MARSEILLE ST CHARLES",3.0706414,50.6305089,5.3811746,43.3032722,59033,13001,"France","France","59","13","13",5.3867511787609
"25","LILLE","PARIS NORD",3.0706414,50.6305089,3.0697335,50.6353896,59033,59800,"France","France","59","59","59",13.8528454806964
"26","LYON PART DIEU","LILLE",4.8601735,45.7605725,3.0706414,50.6305089,69003,59033,"France","France","69","59","59",7.25660944229706
"27","LYON PART DIEU","MARNE LA VALLEE",4.8601735,45.7605725,2.67159197239168,48.8497513,69003,77600,"France","France","69","77","77",5.94256925089093
"28","LYON PART DIEU","MARSEILLE ST CHARLES",4.8601735,45.7605725,5.3811746,43.3032722,69003,13001,"France","France","69","13","13",10.9226059334465
"29","LYON PART DIEU","MONTPELLIER",4.8601735,45.7605725,3.8767337,43.6112422,69003,34062,"France","France","69","34","34",6.69298622075103
"30","LYON PART DIEU","PARIS LYON",4.8601735,45.7605725,2.3733881,48.8469697,69003,75012,"France","France","69","75","75",17.3777581635814
"31","LYON PART DIEU","RENNES",4.8601735,45.7605725,-1.6800198,48.1113387,69003,35000,"France","France","69","35","35",2.16588193307291
"32","MACON LOCHE","PARIS LYON",4.8261827,46.3034679,2.3733881,48.8469697,71000,75012,"France","France","71","75","75",5.69204250302246
"33","MARNE LA VALLEE","LYON PART DIEU",2.67159197239168,48.8497513,4.8601735,45.7605725,77600,69003,"France","France","77","69","69",7.56261712579569
"34","MARNE LA VALLEE","MARSEILLE ST CHARLES",2.67159197239168,48.8497513,5.3811746,43.3032722,77600,13001,"France","France","77","13","13",8.03476599081336
"35","MARSEILLE ST CHARLES","LILLE",5.3811746,43.3032722,3.0706414,50.6305089,13001,59033,"France","France","13","59","59",5.92437666781941
"36","MARSEILLE ST CHARLES","LYON PART DIEU",5.3811746,43.3032722,4.8601735,45.7605725,13001,69003,"France","France","13","69","69",10.901061417895
"37","MARSEILLE ST CHARLES","MADRID",5.3811746,43.3032722,-3.7035825,40.4167047,13001,28001,"France","España","13","28","28",2.53892632689623
"38","MARSEILLE ST CHARLES","MARNE LA VALLEE",5.3811746,43.3032722,2.67159197239168,48.8497513,13001,77600,"France","France","13","77","77",8.71622337332385
"39","MARSEILLE ST CHARLES","PARIS LYON",5.3811746,43.3032722,2.3733881,48.8469697,13001,75012,"France","France","13","75","75",10.0687892572472
"40","MARSEILLE ST CHARLES","TOURCOING",5.3811746,43.3032722,3.1605714,50.7235038,13001,59200,"France","France","13","59","59",2.76275434894214
"41","METZ","PARIS EST",6.1763552,49.1196964,2.245182,48.8400023,57000,92100,"France","France","57","92","92",8.48204423828016
"42","MONTPELLIER","LYON PART DIEU",3.8767337,43.6112422,4.8601735,45.7605725,34062,69003,"France","France","34","69","69",6.59009353746304
"43","MONTPELLIER","PARIS LYON",3.8767337,43.6112422,2.3733881,48.8469697,34062,75012,"France","France","34","75","75",7.44598157888397
"44","MULHOUSE VILLE","PARIS LYON",7.343005,47.7418115,2.3733881,48.8469697,68100,75012,"France","France","68","75","75",8.29237762841565
"45","NANCY","PARIS EST",6.1834097,48.6937223,2.245182,48.8400023,54000,92100,"France","France","54","92","92",7.14593913978302
"46","NANTES","PARIS MONTPARNASSE",-1.5541362,47.2186371,2.3218471,48.8408073,44000,75014,"France","France","44","75","75",11.4744296690829
"47","NANTES","PARIS VAUGIRARD",-1.5541362,47.2186371,2.26862118329893,48.8343161,44000,75015,"France","France","44","75","75",4.93087893496978
"48","NANTES","STRASBOURG",-1.5541362,47.2186371,7.7507127,48.584614,44000,67091,"France","France","44","67","67",1.09534846340481
"49","NICE VILLE","PARIS LYON",7.2617611,43.7048602,2.3733881,48.8469697,6000,75012,"France","France","60","75","75",4.87672233511786
"50","NIMES","PARIS LYON",4.3600687,43.8374249,2.3733881,48.8469697,30020,75012,"France","France","30","75","75",7.50193456358849
"51","PARIS EST","FRANCFORT",2.245182,48.8400023,-61.0219835,-32.8826344,92100,NA,"France","Argentina","92",NA,NA,2.56055374664432
"52","PARIS EST","METZ",2.245182,48.8400023,6.1763552,49.1196964,92100,57000,"France","France","92","57","57",8.36282132458552
"53","PARIS EST","NANCY",2.245182,48.8400023,6.1834097,48.6937223,92100,54000,"France","France","92","54","54",7.33469600757848
